Id,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,MoSold,YrSold,SalePrice
61,13072,Pave,Reg,Lvl,AllPub,SawyerW,1Fam,1Story,6,5,2004,Gable,PConc,1158,GasA,Y,SBrkr,1158,1,1,3,1,Gd,5,0,Detchd,576,5,2006,158000
62,7200,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,2.5Unf,5,7,1920,Gable,BrkTil,530,GasA,N,SBrkr,1111,1,0,3,1,Fa,6,0,Detchd,288,3,2007,101000
63,6442,Pave,IR1,Lvl,AllPub,NridgHt,TwnhsE,1Story,8,5,2006,Gable,PConc,1370,GasA,Y,SBrkr,1370,2,0,2,1,Gd,6,1,Attchd,484,10,2007,202500
64,10300,Pave,IR1,Bnk,AllPub,OldTown,1Fam,2Story,7,6,1921,Gable,BrkTil,576,GasA,Y,SBrkr,1710,2,0,3,1,TA,9,0,Detchd,480,4,2010,140000
65,9375,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,1997,Gable,PConc,1057,GasA,Y,SBrkr,2034,2,1,3,1,Gd,8,0,Attchd,645,2,2009,219500
66,9591,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,2Story,8,5,2004,Gable,PConc,1143,GasA,Y,SBrkr,2473,2,1,4,1,Gd,9,1,BuiltIn,852,10,2007,317000
67,19900,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,7,5,1970,Gable,CBlock,1947,GasA,Y,SBrkr,2207,2,0,3,1,TA,7,1,Attchd,576,7,2010,180000
68,10665,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,2003,Gable,PConc,1453,GasA,Y,SBrkr,1479,2,0,3,1,Gd,7,0,Attchd,558,6,2007,226000
69,4608,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1Story,4,6,1945,Gable,CBlock,747,GasA,Y,SBrkr,747,1,0,2,1,TA,4,0,Attchd,220,6,2010,80000
70,15593,Pave,Reg,Lvl,AllPub,ClearCr,1Fam,1.5Fin,7,4,1953,Gable,CBlock,1304,GasW,Y,SBrkr,2287,2,0,3,1,TA,7,1,Attchd,667,7,2006,225000
71,13651,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,7,6,1973,Gable,CBlock,2223,GasA,Y,SBrkr,2223,2,0,3,1,TA,8,2,Attchd,516,2,2007,244000
72,7599,Pave,Reg,Lvl,AllPub,Mitchel,1Fam,1Story,4,6,1982,Gable,CBlock,845,GasA,Y,SBrkr,845,1,0,2,1,TA,4,0,Detchd,360,6,2007,129500
73,10141,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,7,5,1998,Gable,PConc,832,GasA,Y,SBrkr,1718,2,1,3,1,TA,7,1,Attchd,427,12,2009,185000
74,10200,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1954,Gable,CBlock,1086,GasA,Y,SBrkr,1086,1,0,3,1,TA,6,0,Attchd,490,5,2010,144900
75,5790,Pave,Reg,Lvl,AllPub,OldTown,1Fam,2Story,3,6,1915,Gambrel,CBlock,840,GasA,N,SBrkr,1605,2,0,3,2,TA,8,0,Detchd,379,5,2010,107400
76,1596,Pave,Reg,Lvl,AllPub,MeadowV,Twnhs,SLvl,4,5,1973,Gable,CBlock,462,GasA,Y,SBrkr,988,1,0,2,1,TA,5,0,BuiltIn,297,11,2009,91000
77,8475,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,4,7,1956,Gable,CBlock,952,GasA,Y,FuseA,952,1,0,2,1,TA,4,0,Detchd,283,4,2008,135750
78,8635,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1.5Fin,5,5,1948,Gable,CBlock,672,GasA,Y,SBrkr,1285,1,0,2,1,TA,6,0,Detchd,240,1,2008,127000
79,10778,Pave,Reg,Lvl,AllPub,Sawyer,Duplex,1Story,4,5,1968,Hip,CBlock,1768,GasA,N,SBrkr,1768,2,0,4,2,TA,8,0,NA,0,4,2010,136500
80,10440,Pave,Reg,Lvl,AllPub,OldTown,1Fam,2Story,5,6,1910,Gable,PConc,440,GasA,Y,SBrkr,1230,1,1,2,1,TA,5,0,Detchd,440,5,2009,110000
81,13000,Pave,Reg,Lvl,AllPub,NAmes,1Fam,2Story,6,6,1968,Gable,CBlock,896,GasA,Y,SBrkr,2142,2,1,4,1,Gd,8,1,Attchd,509,6,2009,193500
82,4500,Pave,Reg,Lvl,AllPub,Mitchel,TwnhsE,1Story,6,5,1998,Hip,PConc,1237,GasA,Y,SBrkr,1337,2,0,2,1,TA,5,0,Attchd,405,3,2006,153500
83,10206,Pave,Reg,Lvl,AllPub,Somerst,1Fam,1Story,8,5,2007,Gable,PConc,1563,GasA,Y,SBrkr,1563,2,0,3,1,Gd,6,1,Attchd,758,10,2008,245000
84,8892,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1960,Gable,CBlock,1065,GasA,Y,SBrkr,1065,1,1,3,1,TA,6,0,Detchd,461,7,2007,126500
85,8530,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,SLvl,7,5,1995,Gable,PConc,384,GasA,Y,SBrkr,1474,2,1,3,1,TA,7,1,BuiltIn,400,5,2009,168500
86,16059,Pave,Reg,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1991,Hip,CBlock,1288,GasA,Y,SBrkr,2417,2,1,4,1,Gd,9,1,Attchd,462,4,2006,260000
87,11911,Pave,IR2,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,2005,Gable,PConc,684,GasA,Y,SBrkr,1560,2,1,3,1,Gd,6,1,BuiltIn,400,3,2009,174000
88,3951,Pave,Reg,Lvl,AllPub,Somerst,TwnhsE,2Story,6,5,2009,Gable,PConc,612,GasA,Y,SBrkr,1224,2,1,2,1,Gd,4,0,Detchd,528,6,2009,164500
89,8470,Pave,IR1,Lvl,AllPub,IDOTRR,1Fam,1.5Fin,3,2,1915,Hip,CBlock,1013,GasA,N,SBrkr,1526,1,0,2,1,Fa,6,0,NA,0,10,2009,85000
90,8070,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,4,5,1994,Gable,PConc,990,GasA,Y,SBrkr,990,1,0,3,1,TA,5,0,NA,0,8,2007,123600
91,7200,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1950,Gable,Slab,0,GasA,Y,FuseA,1040,1,0,2,1,TA,4,0,Detchd,420,7,2006,109900
92,8500,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,3,1961,Hip,CBlock,1235,GasA,Y,SBrkr,1235,1,0,2,1,TA,6,0,Attchd,480,12,2006,98600
93,13360,Pave,IR1,HLS,AllPub,Crawfor,1Fam,1Story,5,7,1921,Gable,BrkTil,876,GasA,Y,SBrkr,964,1,0,2,1,TA,5,0,Detchd,432,8,2009,163500
94,7200,Pave,Reg,Lvl,AllPub,OldTown,2fmCon,2.5Unf,6,6,1910,Hip,BrkTil,1214,GasW,N,SBrkr,2291,2,0,4,2,TA,9,1,Detchd,506,11,2007,133900
95,9337,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,2Story,6,5,1997,Gable,PConc,824,GasA,Y,SBrkr,1786,2,1,3,1,Gd,7,0,Attchd,684,5,2007,204750
96,9765,Pave,IR2,Lvl,AllPub,Gilbert,1Fam,2Story,6,8,1993,Gable,PConc,680,GasA,Y,SBrkr,1470,2,1,3,1,TA,6,1,BuiltIn,420,4,2009,185000
97,10264,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,1999,Gable,PConc,1588,GasA,Y,SBrkr,1588,2,0,3,1,Gd,6,0,Attchd,472,8,2006,214000
98,10921,Pave,Reg,HLS,AllPub,Edwards,1Fam,1Story,4,5,1965,Hip,CBlock,960,GasA,Y,FuseF,960,1,0,3,1,TA,6,0,Attchd,432,5,2007,94750
99,10625,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1Story,5,5,1920,Gable,BrkTil,458,GasA,N,SBrkr,835,1,0,2,1,TA,5,0,Basment,366,5,2010,83000
100,9320,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1959,Gable,CBlock,950,GasA,Y,SBrkr,1225,1,1,3,1,TA,6,0,NA,0,1,2010,128950
101,10603,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,1Story,6,7,1977,Gable,PConc,1610,GasA,Y,SBrkr,1610,2,0,3,1,Gd,6,2,Attchd,480,2,2010,205000
102,9206,Pave,Reg,Lvl,AllPub,SawyerW,1Fam,2Story,6,5,1985,Gable,CBlock,741,GasA,Y,SBrkr,1732,2,1,3,1,Gd,7,1,Attchd,476,6,2010,178000
103,7018,Pave,Reg,Bnk,AllPub,SawyerW,Duplex,1Story,5,5,1979,Gable,Slab,0,GasA,Y,SBrkr,1535,2,0,4,2,TA,8,0,Attchd,410,6,2009,118964
104,10402,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,2009,Gable,PConc,1226,GasA,Y,SBrkr,1226,2,0,3,1,Gd,6,0,Attchd,740,5,2010,198900
105,7758,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,1.5Fin,7,4,1931,Gable,PConc,1040,GasA,Y,FuseF,1818,1,1,4,1,TA,7,2,Detchd,240,6,2007,169500
106,9375,Pave,Reg,Lvl,AllPub,Somerst,1Fam,2Story,8,5,2003,Hip,PConc,1053,GasA,Y,SBrkr,1992,2,1,3,1,Gd,9,1,Attchd,648,8,2008,250000
107,10800,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1Story,4,7,1885,Mansard,BrkTil,641,GasA,Y,SBrkr,1047,1,0,2,1,TA,6,0,Detchd,273,8,2007,100000
108,6000,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1Story,5,5,1948,Gable,CBlock,789,GasA,Y,SBrkr,789,1,0,2,1,TA,5,0,Detchd,250,4,2008,115000
109,8500,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,1.5Fin,5,7,1919,Gable,CBlock,793,GasW,N,FuseF,1517,2,0,3,1,Fa,7,0,NA,0,8,2007,115000
110,11751,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,1Story,6,6,1977,Hip,CBlock,1844,GasA,Y,SBrkr,1844,2,0,3,1,TA,7,1,Attchd,546,1,2010,190000
111,9525,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1.5Fin,6,4,1954,Gable,CBlock,994,GasA,Y,SBrkr,1855,2,0,4,1,TA,7,0,Attchd,325,10,2006,136900
112,7750,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,SLvl,7,5,2000,Gable,PConc,384,GasA,Y,SBrkr,1430,2,1,3,1,TA,7,1,BuiltIn,400,4,2010,180000
113,9965,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,2007,Gable,PConc,1264,GasA,Y,SBrkr,2696,2,1,4,1,Ex,10,1,BuiltIn,792,10,2007,383970
114,21000,Pave,Reg,Bnk,AllPub,Crawfor,1Fam,1Story,6,5,1953,Hip,CBlock,1809,GasA,Y,SBrkr,2259,2,0,3,1,Gd,7,2,Basment,450,10,2007,217000
115,7259,Pave,IR1,Lvl,AllPub,Crawfor,1Fam,2Story,6,8,1945,Gambrel,CBlock,1028,GasA,Y,SBrkr,2320,2,1,3,1,Gd,9,1,Detchd,180,7,2007,259500
116,3230,Pave,Reg,Lvl,AllPub,Somerst,TwnhsE,2Story,6,5,1999,Gable,PConc,729,GasA,Y,SBrkr,1458,2,1,2,1,TA,5,1,Detchd,440,6,2007,176000
117,11616,Pave,Reg,Lvl,AllPub,Sawyer,1Fam,1Story,5,5,1962,Gable,CBlock,1092,GasA,Y,SBrkr,1092,1,0,3,1,TA,6,1,Attchd,288,9,2009,139000
118,8536,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1Story,5,5,2006,Gable,PConc,1125,GasA,Y,SBrkr,1125,1,1,2,1,TA,5,0,Attchd,430,4,2007,155000
119,12376,Pave,Reg,Lvl,AllPub,SawyerW,1Fam,2Story,7,5,1990,Hip,PConc,1673,GasA,Y,SBrkr,3222,3,0,5,1,Gd,11,2,Attchd,594,5,2010,320000
120,8461,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,2Story,6,5,2005,Gable,PConc,728,GasA,Y,SBrkr,1456,2,1,3,1,Gd,8,1,Attchd,390,7,2006,163990
121,21453,Pave,IR1,Low,AllPub,ClearCr,1Fam,SLvl,6,5,1969,Flat,CBlock,938,GasA,Y,SBrkr,988,1,0,1,1,TA,4,2,Attchd,540,10,2006,180000
122,6060,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,1.5Fin,4,5,1939,Gable,PConc,732,GasA,Y,SBrkr,1123,1,0,3,1,TA,4,0,Detchd,264,6,2007,100000
123,9464,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1958,Hip,CBlock,1080,GasA,Y,SBrkr,1080,1,0,3,1,TA,5,0,Attchd,288,6,2008,136000
124,7892,Pave,Reg,Lvl,AllPub,SawyerW,TwnhsE,1Story,6,5,1993,Gable,PConc,1199,GasA,Y,SBrkr,1199,2,0,2,1,Gd,5,0,Attchd,530,3,2008,153900
125,17043,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,1Story,6,5,1979,Gable,CBlock,1362,GasA,Y,SBrkr,1586,2,0,3,1,TA,7,1,Attchd,435,1,2009,181000
126,6780,Pave,Reg,Lvl,AllPub,IDOTRR,2fmCon,1.5Fin,6,8,1935,Gable,CBlock,520,GasA,N,SBrkr,754,1,0,2,1,TA,5,0,NA,0,6,2006,84500
127,4928,Pave,IR1,Lvl,AllPub,NPkVill,TwnhsE,1Story,6,5,1976,Gable,CBlock,1078,GasA,Y,SBrkr,958,2,0,2,1,TA,5,1,Attchd,440,2,2007,128000
128,4388,Pave,IR1,Bnk,AllPub,OldTown,1Fam,1.5Unf,5,7,1930,Gable,BrkTil,672,GasA,Y,SBrkr,840,1,0,3,1,TA,5,1,NA,0,6,2007,87000
129,7590,Pave,Reg,Lvl,AllPub,NAmes,1Fam,2Story,6,5,1966,Gable,CBlock,660,GasA,Y,SBrkr,1348,1,1,3,1,TA,6,1,Attchd,453,7,2006,155000
130,8973,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1958,Gable,CBlock,1008,GasA,Y,FuseA,1053,1,1,3,1,Ex,6,0,2Types,750,7,2006,150000
131,14200,Pave,Reg,Lvl,AllPub,NAmes,1Fam,2Story,7,6,1966,Gable,CBlock,924,GasA,Y,SBrkr,2157,2,1,4,1,Gd,8,2,Attchd,487,5,2006,226000
132,12224,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,2000,Gable,PConc,992,GasA,Y,SBrkr,2054,2,1,3,1,Gd,7,1,BuiltIn,390,7,2009,244000
