"no_of_shares","no_of_words_in_title","no_of_words_in_text","no_of_unique_words_in_text","no_of_links","no_of_images","no_of_videos","average_word_length"
1100,10,259,0.640624997498,4,0,0,4.76061776062
2500,6,164,0.587837833866,3,1,0,4.65243902439
474,10,424,0.552567235813,8,1,0,4.98113207547
2100,8,345,0.603658534745,6,1,0,4.43188405797
513,10,138,0.753731337659,1,0,1,4.65942028986
373,10,614,0.53057851152,11,1,0,4.75732899023
1000,7,144,0.722627731952,9,1,0,4.82638888889
3200,12,249,0.597560973181,2,0,0,4.5421686747
657,7,142,0.732394361039,4,0,1,4.61267605634
2100,10,221,0.5799999971,2,1,0,4.14027149321
727,9,82,0.786666656178,3,1,0,4.9512195122
1900,11,173,0.723529407509,3,1,0,4.93641618497
2800,10,372,0.548648647166,4,1,0,5.03225806452
341,8,640,0.528481011822,10,1,0,4.3125
648,9,330,0.501597442487,12,1,0,4.65757575758
1700,10,381,0.546174141039,8,1,0,4.84776902887
4600,12,292,0.626334517344,5,0,0,4.49315068493
2700,9,165,0.654545450579,8,1,0,4.57575757576
450,9,230,0.669603521279,7,1,1,4.79565217391
939,8,123,0.716666660694,4,0,0,4.46341463415
1600,8,258,0.614785989826,2,1,0,4.56976744186
606,12,180,0.606936412677,3,1,0,4.72777777778
529,11,365,0.58126721603,9,1,0,4.69589041096
761,8,211,0.607655499485,12,1,0,4.43127962085
958,12,373,0.561307900378,7,0,0,4.85522788204
904,7,144,0.591549291609,12,1,0,4.77777777778
4500,13,204,0.6464646432,2,1,0,4.42156862745
1200,15,481,0.54105263044,5,1,0,4.59459459459
427,12,246,0.702127656587,8,1,0,4.43902439024
1300,10,182,0.596685079576,5,1,1,4.91758241758
3200,10,498,0.522821575679,9,1,0,4.67670682731
3400,7,252,0.662650599748,5,0,0,4.68253968254
972,9,334,0.625377641615,7,1,0,4.84730538922
737,12,284,0.602941174254,10,1,0,4.6161971831
1700,10,289,0.586956519612,8,1,0,4.56401384083
2900,12,211,0.68269230441,10,0,0,4.60663507109
2500,10,951,0.437295528422,6,1,0,5.03785488959
1400,11,286,0.652631576657,5,0,0,5.00699300699
441,8,255,0.623015870544,6,1,0,4.41568627451
922,14,252,0.670634917974,8,0,0,4.63492063492
473,9,757,0.449197860362,11,1,0,4.55482166446
3200,9,152,0.622377618025,4,0,0,5.08552631579
1600,10,357,0.525423727329,6,1,0,4.94677871148
5500,10,317,0.561904760121,6,1,0,4.99369085174
933,10,891,0.43806306257,10,1,0,4.76879910213
2500,7,1121,0.441923774554,12,1,0,4.69402319358
1700,11,993,0.415821500592,12,1,0,4.40886203424
2400,13,309,0.618892506127,7,1,0,4.68284789644
308,11,159,0.759493666079,9,1,0,4.89308176101
762,13,243,0.654008436059,4,0,1,4.20164609053
1200,9,222,0.665024627266,7,1,1,4.63063063063
657,12,160,0.647798738064,2,0,1,4.19375
794,11,347,0.584569731203,7,0,1,5.06916426513
1300,11,255,0.631578944811,5,1,0,4.85882352941
1200,8,424,0.640096616811,12,1,0,4.64150943396
1500,10,286,0.55263157687,3,1,0,4.38461538462
698,10,347,0.516717323657,3,1,0,4.66570605187
742,8,396,0.501278771096,5,1,0,4.5
1000,7,428,0.590570718138,19,1,0,4.96962616822
1500,10,727,0.466850828084,4,1,0,4.64649243466
1200,12,270,0.576923074704,6,1,0,4.71481481481
775,7,518,0.486434107584,11,1,0,4.78957528958
569,16,487,0.519587627795,6,1,0,4.48049281314
3000,11,264,0.567567565376,6,1,0,4.38636363636
802,16,143,0.706293701355,2,0,1,4.20979020979
2000,8,494,0.452138491951,6,1,0,4.72267206478
423,11,180,0.655367227936,2,1,1,4.27222222222
1000,6,106,0.715686267493,2,0,1,4.56603773585
1600,7,606,0.482470783836,7,1,0,4.5198019802
2400,8,279,0.609318994232,13,1,0,5.08602150538
1200,9,340,0.567567565863,2,0,0,4.3
1500,8,962,0.473684210028,14,1,0,4.82848232848
1400,12,135,0.694029845567,2,0,0,4.34074074074
1000,12,185,0.653846150254,4,1,0,4.51891891892
400,12,344,0.551319646477,2,1,0,4.75581395349
1700,12,698,0.498533723609,13,1,0,4.61031518625
1100,8,461,0.549999998804,8,1,0,5.07809110629
4400,9,318,0.579288024015,7,0,0,4.64779874214
924,9,930,0.442162161684,7,1,0,5.10860215054
1900,10,682,0.487369984417,11,1,0,4.60850439883
1300,10,349,0.541916166042,10,1,0,4.38681948424
1800,13,220,0.602803735501,5,1,0,4.91818181818
924,11,221,0.660550455686,8,1,0,4.89592760181
730,10,195,0.618556697842,5,1,0,4.88205128205
3500,10,604,0.433774833719,13,1,0,4.59437086093
1900,11,707,0.446043164826,3,1,0,4.40594059406
614,10,331,0.649230767233,8,1,0,5.11782477341
1600,6,358,0.622478384373,24,1,0,5.39106145251
1100,8,270,0.583643120507,5,0,0,4.13333333333
1000,8,148,0.721088430469,6,0,1,4.72972972973
1700,10,315,0.617834392937,3,1,0,5.06666666667
720,14,696,0.480463096266,5,1,0,4.01724137931
1500,7,719,0.492329148546,13,1,0,4.65090403338
1400,11,257,0.622047241645,4,1,0,4.62645914397
1600,9,328,0.609756095702,11,1,0,4.9512195122
2100,10,204,0.682051278554,7,1,0,5.22058823529
1100,10,230,0.65486725374,3,1,0,4.34347826087
1600,11,291,0.620209057072,9,1,0,4.55670103093
2100,10,416,0.543902437698,8,0,0,4.78125
2200,8,208,0.673076919841,4,1,0,5.26442307692
1000,13,178,0.634831457108,3,1,0,4.34269662921
1400,6,325,0.613003094077,1,0,0,4.50153846154
5300,7,203,0.668367343529,4,1,0,4.9802955665
1600,11,351,0.521489969852,9,1,0,4.62678062678
2300,8,104,0.754901953383,4,1,0,4.64423076923
1700,13,293,0.585365851619,6,1,0,4.66552901024
1400,10,995,0.38061224451,20,1,0,4.35778894472
2100,14,138,0.715328461932,8,0,0,4.21014492754
1000,12,321,0.617554856998,1,0,0,4.33644859813
1700,11,147,0.734693872553,6,0,0,4.6462585034
2700,12,138,0.644927531558,5,0,1,4.13043478261
731,10,331,0.691318325751,18,1,0,5.06344410876
3100,9,678,0.493273541864,16,1,0,4.66814159292
3400,12,190,0.622340422222,4,0,0,5.02631578947
894,13,174,0.658959533763,3,1,2,4.59770114943
1300,12,327,0.619496853398,4,1,0,4.53822629969
1600,10,536,0.541509432941,8,1,0,4.65485074627
1400,10,713,0.405099149568,7,1,0,4.45161290323
5400,10,165,0.656249995898,2,0,1,4.41212121212
618,9,120,0.799999993333,7,0,0,4.45
630,11,501,0.545454544353,6,1,0,4.75848303393
2900,9,282,0.621428569209,6,0,1,4.57092198582
2000,10,324,0.527950308919,6,1,0,4.91975308642
909,12,230,0.621004563374,7,1,0,4.67391304348
705,13,732,0.441860464512,7,1,0,4.1106557377
2700,10,350,0.615606934637,10,1,0,5.02
699,12,315,0.537162160347,7,1,0,4.7619047619
2100,11,317,0.555555553792,11,1,1,4.25867507886
1900,11,419,0.572481571075,7,1,0,4.73269689737
636,8,275,0.621323527127,1,1,0,4.82909090909
432,13,197,0.730964463295,4,0,1,4.54314720812
3000,8,1046,0.436416184551,9,1,0,4.57743785851
621,11,732,0.456551723508,9,1,0,4.6393442623
5300,14,207,0.668316828375,4,0,0,4.64251207729
1600,8,434,0.541966425559,8,1,0,4.89631336406
1700,9,276,0.572992698639,6,0,0,4.75724637681
649,12,497,0.514522820509,5,1,0,4.60965794769
476,9,91,0.707865160586,3,1,0,4.40659340659
1300,11,176,0.632183904413,3,0,1,4.51136363636
1900,12,415,0.599496220152,22,1,0,4.59759036145
1700,12,1298,0.412772585348,13,1,0,4.63174114022
1800,13,273,0.592452827953,5,1,0,4.87912087912
586,10,601,0.524369747018,19,1,0,4.71214642263
1100,7,221,0.571428568795,4,1,0,4.62443438914
992,10,205,0.63636363315,3,1,0,4.36585365854
950,11,469,0.551724136742,7,1,1,4.45202558635
903,13,208,0.70297029355,4,0,1,4.20192307692
1500,9,349,0.573065900937,5,1,0,4.45272206304
1600,10,374,0.602150536016,6,1,0,4.80213903743
1500,8,264,0.583333331124,20,0,0,5.02651515152
1300,10,203,0.693121689454,3,1,1,4.46798029557
1300,9,652,0.531782944912,10,1,1,4.88803680982
862,9,714,0.564885495321,3,1,0,4.97338935574
1100,12,876,0.517281105395,17,1,0,5.1198630137
3000,12,528,0.495126704688,9,1,0,4.14772727273
1100,12,513,0.565217390187,8,1,0,4.99805068226
1300,9,187,0.623595502115,6,1,0,4.85026737968
1200,11,276,0.648351645977,3,1,0,5.17753623188
811,9,286,0.605166049427,11,1,0,4.55594405594
5200,11,121,0.590909085537,3,1,0,4.32231404959
498,9,303,0.594594592586,7,1,0,4.52145214521
1300,10,223,0.619909499457,8,0,0,4.53811659193
440,11,170,0.713414629796,8,0,0,4.78823529412
983,11,722,0.479166666001,9,1,0,4.81024930748
2800,9,388,0.637305697831,7,1,0,4.67783505155
1200,10,364,0.518624640348,5,1,0,4.2032967033
423,9,354,0.613180514002,8,1,0,4.68926553672
735,13,149,0.729729724799,6,0,1,4.48322147651
1100,12,225,0.679999996978,3,0,2,4.56444444444
718,9,281,0.660714283355,6,1,0,5.24555160142
2400,10,658,0.480857579662,8,1,0,4.92553191489
1200,11,372,0.567934781065,3,1,0,4.39247311828
2300,9,452,0.502232141736,4,1,0,4.62389380531
581,12,400,0.573604059458,12,1,0,4.8225
752,9,462,0.559210525089,7,1,1,4.48268398268
866,8,293,0.625874123686,11,1,0,4.74061433447
1200,10,960,0.451104100472,17,1,0,4.375
3200,13,200,0.673469384319,5,0,0,4.535
442,9,446,0.502325580227,11,0,0,4.55605381166
2900,10,462,0.492204898681,4,1,0,4.57575757576
1100,11,144,0.639705877649,8,1,0,4.84722222222
2200,13,171,0.674698791116,3,1,0,4.73684210526
1900,7,354,0.532577902174,8,0,0,4.33050847458
2400,7,432,0.583924348501,7,0,1,4.77546296296
730,11,327,0.55214723757,3,1,2,4.31804281346
458,12,803,0.496240600882,11,1,0,4.85056039851
2100,11,389,0.400552485081,7,1,0,4.47300771208
1600,11,400,0.533163263946,4,1,0,4.06
462,12,537,0.517823638803,3,1,0,4.66852886406
2500,12,193,0.591397846283,3,0,1,4.62694300518
1900,11,231,0.599999997333,3,1,1,4.89177489177
1300,10,579,0.495652173051,9,1,0,4.54231433506
5400,9,912,0.423542353769,5,1,0,4.3475877193
1100,8,408,0.487684727863,6,1,0,4.67401960784
3800,11,403,0.47761193911,4,0,1,4.72456575682
725,9,306,0.568561871008,5,1,0,4.56862745098
787,10,291,0.563829785235,1,1,0,4.72852233677
5500,5,141,0.642857138265,11,1,1,4.73758865248
1900,10,253,0.557312250762,5,1,0,4.66798418972
463,9,286,0.600706711658,7,1,1,4.89160839161
368,11,182,0.634831457108,2,1,0,4.48351648352
1300,12,310,0.604575161423,5,0,0,4.66774193548
957,13,155,0.712418295997,5,0,1,4.68387096774
484,10,381,0.632432430723,7,1,0,4.44356955381
2300,9,641,0.496835442252,3,1,0,4.73322932917
3100,15,184,0.670329666647,1,0,1,4.27717391304
2400,11,408,0.508860758205,8,1,0,4.5612745098
1100,10,463,0.567264572719,12,1,0,4.686825054
568,10,678,0.517397881214,15,1,0,4.45280235988
4200,9,187,0.654054050519,7,0,0,4.37967914439
2200,10,358,0.582386361982,4,0,0,4.66759776536
968,8,291,0.612456745286,6,0,1,4.66666666667
1800,8,226,0.61643835335,5,1,0,4.98672566372
2000,11,220,0.589622638728,4,1,0,5.28181818182
768,9,394,0.60621761501,8,1,0,4.82233502538
635,11,156,0.71710525844,4,1,0,4.37179487179
1000,10,415,0.491484183719,4,1,0,4.60481927711
685,9,1089,0.441860464705,16,1,0,4.92194674013
2000,9,410,0.589420653427,10,0,1,4.79024390244
902,9,448,0.521252795254,8,1,0,4.52232142857
1200,12,986,0.423194302723,14,1,0,4.96957403651
1000,10,232,0.669642854153,6,0,0,4.51293103448
5100,10,300,0.605351168544,6,1,2,4.78
2500,6,1060,0.441816461266,13,1,0,5.13490566038
933,10,537,0.507518796038,4,1,0,4.9199255121
3200,11,182,0.664835161182,4,0,0,5.16483516484
1000,10,120,0.799999993333,6,0,0,5.13333333333
660,11,241,0.543933052117,5,1,1,4.91286307054
1800,9,420,0.620192306201,17,1,0,4.62619047619
2600,11,402,0.4799999988,5,1,0,5.00497512438
757,11,660,0.49847094725,12,1,0,4.86818181818
1300,15,233,0.611607140127,11,1,0,4.57081545064
2100,8,744,0.503382949251,19,1,0,4.57392473118
1200,9,282,0.602189778824,6,1,0,4.40780141844
615,12,588,0.495711834484,11,1,0,4.70068027211
504,7,457,0.575280897584,5,0,0,4.84463894967
1400,9,134,0.684210521171,6,1,0,4.74626865672
2200,12,339,0.554216865801,6,1,0,4.36283185841
1400,11,325,0.543209874867,2,1,0,4.81846153846
2500,8,320,0.586750786793,8,1,0,4.740625
1500,9,963,0.504823150584,8,1,0,4.59709241952
416,12,1197,0.43397813252,13,1,0,4.59565580618
354,5,256,0.583673467005,5,1,0,5.18359375
483,10,226,0.608108105369,7,0,0,4.36725663717
575,8,174,0.666666662768,8,0,0,4.48850574713
2500,6,448,0.542986424111,9,1,0,4.95089285714
1600,8,365,0.600550962533,3,1,0,4.69315068493
1200,11,185,0.621621618262,7,1,0,4.64864864865
2100,9,1224,0.394412489405,11,1,0,4.65604575163
1200,14,316,0.583606555464,8,1,0,4.4746835443
1300,8,263,0.636015323234,7,1,0,4.4030418251
1400,13,264,0.569767439652,7,1,0,4.875
560,10,611,0.498327758364,10,1,0,4.53846153846
2900,8,159,0.675159231368,3,0,0,4.30817610063
1600,9,352,0.585014407536,16,1,0,5.00284090909
4500,8,228,0.639999997156,6,0,0,4.92105263158
1300,10,457,0.543378994193,10,1,0,4.96061269147
1200,10,206,0.63414633837,4,0,2,5.0145631068
811,10,157,0.675159231368,2,0,0,4.54777070064
2200,13,370,0.552777776242,2,1,0,4.82162162162
4100,10,1105,0.425182481364,3,1,0,4.89411764706
1900,10,972,0.442902881064,13,1,0,5.00205761317
3400,13,646,0.525902667934,9,1,0,4.72910216718
460,8,134,0.691729318107,2,0,1,4.67910447761
554,11,196,0.630208330051,4,0,0,4.59693877551
638,11,239,0.62025316194,6,0,0,5.06694560669
712,10,704,0.462857142196,4,1,0,5.09943181818
1500,9,342,0.586102717263,2,1,0,4.2485380117
2200,12,513,0.513671873997,7,1,0,5.20467836257
3100,7,897,0.403607665836,11,1,0,4.45039018952
935,8,245,0.558333331007,7,1,0,4.97551020408
832,10,152,0.684563753795,5,1,0,4.78289473684
804,9,132,0.734848479281,2,0,0,3.99242424242
3500,12,363,0.538028167499,4,1,0,4.17355371901
3000,11,132,0.699999994615,6,0,0,4.79545454545
1200,7,340,0.587537090245,5,1,0,4.52647058824
847,12,182,0.604519770596,2,1,0,4.43956043956
917,10,311,0.659090906951,4,1,0,4.72990353698
673,9,291,0.550522646165,5,1,0,4.52920962199
938,12,326,0.55485893243,11,1,0,4.9263803681
358,8,184,0.653179186976,5,1,0,4.66847826087
1200,10,149,0.7248322099,1,0,0,4.76510067114
2100,12,292,0.572992698639,6,1,0,4.65753424658
2300,13,263,0.573643408629,6,1,0,4.79847908745
1100,11,793,0.400254129098,8,1,0,4.79571248424
1800,7,94,0.655913971442,2,1,0,4.47872340426
610,8,299,0.617449662358,7,1,0,4.61872909699
870,12,166,0.699999995333,10,1,0,4.51807228916
1200,7,792,0.494310998111,6,1,0,5.0404040404
1100,11,916,0.448087431204,5,1,0,4.57096069869
1300,9,459,0.510022270579,9,1,0,4.49237472767
793,6,1186,0.419763513159,15,1,0,4.55143338954
3500,10,491,0.600823044031,16,1,0,4.73319755601
2500,10,663,0.494704991687,4,1,0,4.57918552036
4800,7,315,0.568181816337,4,0,0,5.07936507937
2900,10,410,0.536340850786,7,0,0,4.37317073171
844,14,326,0.553124998271,5,1,0,4.60429447853
744,13,793,0.518661517994,20,1,1,4.4262295082
690,8,173,0.631901836614,3,1,0,4.9710982659
998,10,542,0.555970148216,14,1,0,4.69926199262
3300,8,616,0.521594683519,11,1,0,4.52272727273
1900,13,258,0.591999997632,8,1,0,4.98837209302
4000,10,124,0.72357722989,7,0,0,4.56451612903
2500,11,398,0.494764396611,3,1,0,4.23115577889
5100,14,322,0.529595013926,4,1,0,4.36335403727
802,9,380,0.592896173243,8,0,1,5.01842105263
1400,12,864,0.459905659835,18,1,0,4.43865740741
4200,10,1298,0.422273781576,13,1,0,4.48690292758
875,8,238,0.596491225454,9,1,0,4.87394957983
1200,10,689,0.436661698306,20,1,0,4.96806966618
2000,10,263,0.600790511459,9,1,0,4.5969581749
2100,9,480,0.553648067481,9,1,1,4.89791666667
1700,12,300,0.557093423678,4,1,0,4.80666666667
801,11,250,0.576131684872,2,1,0,4.524
1900,12,183,0.727777773735,4,0,1,4.48633879781
756,10,826,0.449574726064,9,1,0,5.11380145278
1400,8,883,0.452679588994,14,1,0,5.11438278596
1100,11,254,0.608870965287,3,1,0,4.86614173228
2300,12,150,0.693333328711,3,0,0,4.58666666667
1700,9,509,0.512974050872,7,1,0,4.89587426326
1800,11,479,0.563318776063,17,1,0,4.93736951983
2200,8,420,0.531553396768,1,1,0,4.39523809524
3500,8,576,0.469352013189,9,1,1,4.484375
2900,12,270,0.576763483084,7,1,0,4.48888888889
817,7,263,0.63779527308,6,1,0,4.74904942966
3400,10,185,0.691891888152,4,0,0,4.38378378378
794,13,298,0.52861952684,4,1,0,4.78859060403
465,13,742,0.479564032044,12,1,0,4.62668463612
2200,10,322,0.59501557447,9,1,2,4.42236024845
1700,16,185,0.637426896857,3,1,0,4.25945945946
1100,10,240,0.594017091479,5,1,0,4.625
2200,9,409,0.581907089042,8,1,0,4.57946210269
536,11,480,0.540880502011,8,1,0,4.47916666667
3100,10,126,0.634920629882,2,0,0,4.53174603175
701,11,123,0.731707311124,2,0,1,4.78861788618
3600,9,796,0.511392404416,14,1,0,4.91959798995
1300,9,241,0.583333330903,3,1,0,4.71784232365
2900,9,166,0.631901836614,6,1,0,4.4578313253
1200,9,666,0.496951218755,9,1,2,4.6996996997
2400,9,240,0.574660630884,8,1,0,4.32083333333
3700,11,353,0.583569403446,9,0,0,4.71671388102
1500,9,163,0.749999995192,3,1,0,5.24539877301
721,9,340,0.574404760195,4,1,0,4.63529411765
2700,11,435,0.535714284439,8,1,0,4.72183908046
1700,14,576,0.44521739053,5,1,0,4.44270833333
3400,11,332,0.560975608046,8,1,0,4.78313253012
2200,6,595,0.509337859916,11,1,0,4.92773109244
1400,9,227,0.597222219457,2,1,0,4.6872246696
2100,9,671,0.405082211652,4,1,0,4.16691505216
1200,8,234,0.614035085026,6,1,0,4.7094017094
561,9,516,0.516504853366,8,1,0,4.41472868217
2900,8,455,0.530201341096,8,1,0,5.04615384615
2800,7,664,0.534848484038,8,1,1,4.50451807229
1800,11,322,0.643533120998,10,1,0,4.44720496894
930,10,158,0.683544299471,5,0,1,4.37341772152
1200,8,322,0.507788160412,15,1,0,4.54968944099
1100,9,234,0.558951962625,10,0,0,4.93162393162
1500,10,324,0.570032571433,5,1,0,4.77469135802
1800,13,189,0.708994705243,4,0,1,4.66137566138
1900,12,352,0.599999998286,8,1,0,4.71022727273
1200,9,629,0.47665056284,5,1,0,4.05246422893
2000,9,222,0.572727270124,7,1,0,4.31981981982
2200,12,186,0.625698320527,4,1,0,4.81182795699
1200,8,265,0.613026817575,7,0,0,4.61132075472
1100,10,327,0.503355703009,2,1,0,4.82262996942
1300,13,306,0.503355703009,13,1,0,4.41503267974
1900,12,342,0.538461536868,4,1,0,4.58479532164
1300,12,668,0.503039512913,6,1,0,4.87574850299
3100,9,331,0.595541399377,12,1,0,4.7583081571
2400,7,163,0.753086415104,4,1,0,4.59509202454
3800,9,126,0.714285708283,4,0,0,4.62698412698
2600,11,287,0.594306047707,13,0,1,4.82926829268
3500,8,407,0.609022554865,4,1,0,4.58476658477
2000,9,337,0.556547617391,6,1,0,4.73590504451
3900,11,80,0.77215188896,2,0,1,4.3
4200,14,102,0.784313717801,3,1,0,4.85294117647
1600,12,259,0.618110233787,1,0,1,4.6138996139
3500,10,951,0.407119020682,13,1,0,4.37013669821
767,10,344,0.562130175852,7,1,0,4.45930232558
1300,8,188,0.554347823074,3,0,2,4.57978723404
2800,10,945,0.448648648164,13,1,0,4.86772486772
2100,11,281,0.616487452988,5,1,0,4.71886120996
827,10,68,0.794117635381,5,0,0,4.75
2500,9,593,0.430292598227,21,1,0,4.97301854975
2500,9,347,0.547692306007,14,1,0,5.19020172911
764,11,197,0.659574464577,6,1,0,5.04568527919
1100,10,680,0.486607142133,7,1,0,4.69705882353
4000,10,296,0.590277775728,3,1,0,4.98310810811
1100,10,123,0.711864400747,1,0,1,4.82926829268
1000,10,148,0.715277772811,5,0,1,4.93918918919
2100,10,180,0.639534880003,4,1,0,4.53888888889
2200,10,315,0.524115753942,8,1,0,4.82222222222
703,14,103,0.7399999926,3,0,0,4.58252427184
1900,12,509,0.495088407672,10,1,0,4.64440078585
863,12,217,0.52450980135,6,1,0,4
1100,11,349,0.587209300619,3,1,0,4.73638968481
3700,13,177,0.697142853159,8,0,0,4.72881355932
799,10,251,0.683999997264,5,1,1,4.86454183267
3700,10,424,0.580335730023,11,1,0,4.80188679245
1600,11,417,0.603864732841,5,1,0,4.8824940048
2000,13,134,0.795454539428,7,0,1,4.47014925373
1600,9,985,0.439752831679,8,1,0,4.72487309645
2100,10,265,0.625482623068,4,1,0,4.8
1300,9,535,0.509469696005,9,1,0,4.30280373832
1100,8,382,0.561679788552,3,1,0,4.75392670157
800,7,524,0.30923694717,0,1,0,4.84160305344
1100,11,771,0.509803920902,18,1,0,5.09338521401
900,8,225,0.569377987706,14,1,0,4.83555555556
1100,12,294,0.680851061415,15,1,0,4.63605442177
1100,11,481,0.502145921669,4,0,1,4.00415800416
1600,8,704,0.502865328792,10,1,0,4.59801136364
1600,10,371,0.567123286117,4,0,0,4.60107816712
2100,10,1050,0.407371483601,13,1,0,4.84952380952
971,6,545,0.498148147226,11,1,1,5.3247706422
872,9,506,0.522448978526,16,0,1,4.87351778656
1700,10,1016,0.427710842944,14,1,0,4.87598425197
657,10,156,0.673202609979,4,0,1,5.03846153846
1100,10,263,0.544680848746,6,0,0,5.00380228137
2800,8,189,0.708994705243,3,1,0,4.7037037037
718,13,113,0.790909083719,5,0,1,4.83185840708
4500,10,154,0.738562086676,3,0,0,5.27922077922
1800,13,145,0.573426569417,4,1,0,4.55862068966
1200,8,286,0.585964910225,6,0,1,4.55944055944
3100,9,666,0.474164133018,11,1,0,4.50900900901
987,10,185,0.722826083028,6,0,1,4.43243243243
1500,9,745,0.447010868958,7,1,0,4.44832214765
2100,10,85,0.790123447036,3,1,0,4.95294117647
1500,11,242,0.637931031733,6,0,2,5.26446280992
936,10,296,0.623239434425,5,1,0,4.38175675676
1200,9,184,0.554347823074,3,1,0,4.84239130435
860,12,286,0.690909088397,7,0,2,4.58041958042
4600,8,1362,0.337061893858,8,1,1,4.45888399413
925,12,317,0.537459281637,1,0,1,4.6403785489
1700,11,230,0.681415926188,7,1,0,4.68695652174
940,9,458,0.529933479978,5,1,0,4.66812227074
560,11,245,0.642241376542,7,1,0,5.11428571429
2600,10,225,0.571428568878,5,1,1,5.06666666667
1500,12,577,0.500866550258,7,1,1,4.7452339688
866,9,380,0.550264548809,3,1,0,4.50789473684
1200,11,617,0.549593495041,12,1,0,4.94003241491
1300,8,218,0.641860462131,2,0,1,4.57339449541
1400,12,366,0.538888887392,5,0,1,4.40163934426
583,10,504,0.518962074812,11,1,0,4.27976190476
1200,10,831,0.418576597806,6,1,0,4.64620938628
3000,7,400,0.5829145714,4,1,0,4.9425
1100,14,193,0.707446804748,3,1,0,4.86528497409
1200,10,682,0.482404691375,10,1,0,4.91495601173
751,12,702,0.435530085336,14,1,0,4.75498575499
741,9,446,0.498876403373,7,1,0,5.19058295964
2100,8,275,0.53100774988,3,1,0,4.51272727273
1800,8,334,0.652307690301,15,1,0,5.17964071856
1600,10,370,0.532432430993,7,1,0,4.43513513514
635,11,430,0.569411763366,15,1,0,4.56046511628
